dateCrawled,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,postalCode
2016-03-06 00:59:40,19800,suv,2011,automatik,143,x_reihe,70000,8,diesel,bmw,nein,96253
2016-03-06 00:59:41,1750,limousine,2003,manuell,69,corsa,150000,7,diesel,opel,ja,64569
2016-03-06 00:59:41,2900,bus,1999,manuell,131,andere,150000,10,diesel,volkswagen,nein,86657
2016-03-06 00:59:44,9300,limousine,2011,manuell,86,golf,90000,9,benzin,volkswagen,nein,60487
2016-03-06 00:59:44,6199,kombi,2005,automatik,224,a6,150000,7,diesel,audi,nein,41464
2016-03-06 00:59:45,20000,limousine,2007,automatik,450,andere,150000,3,benzin,audi,nein,50126
2016-03-06 00:59:46,7500,kombi,2007,manuell,170,passat,150000,0,diesel,volkswagen,nein,91364
2016-03-06 00:59:47,2390,limousine,2005,manuell,60,fiesta,125000,9,benzin,ford,nein,22049
2016-03-06 01:25:22,22900,limousine,2014,automatik,150,a3,30000,4,diesel,audi,nein,65817
2016-03-06 01:25:23,1750,kleinwagen,2003,manuell,69,corsa,150000,7,diesel,opel,ja,64569
2016-03-06 01:25:24,2700,kleinwagen,2004,manuell,101,fusion,150000,7,benzin,ford,nein,60385
2016-03-06 01:25:36,5250,limousine,2001,manuell,102,passat,80000,4,benzin,volkswagen,ja,61231
2016-03-06 01:28:06,27498,kombi,2013,automatik,184,3er,70000,3,diesel,bmw,nein,63263
2016-03-06 01:32:20,8600,kombi,2009,manuell,140,passat,150000,3,diesel,volkswagen,nein,60437
2016-03-06 01:36:15,2000,coupe,1984,manuell,125,andere,150000,3,benzin,porsche,ja,33442
2016-03-06 01:36:16,620,kleinwagen,1999,manuell,58,twingo,125000,9,benzin,renault,nein,65203
2016-03-06 01:36:17,16350,limousine,2008,automatik,232,a8,150000,1,diesel,audi,nein,58095
2016-03-06 01:36:17,6400,cabrio,1999,automatik,193,slk,150000,5,benzin,mercedes_benz,nein,76846
2016-03-06 01:36:18,400,kombi,2001,manuell,98,rio,150000,7,benzin,kia,ja,33829
2016-03-06 01:36:19,6100,cabrio,2007,manuell,140,astra,80000,3,benzin,opel,ja,56566
2016-03-06 01:36:19,1150,kombi,2000,manuell,101,astra,150000,2,benzin,opel,nein,63505
2016-03-06 01:36:20,2890,cabrio,1990,manuell,113,3er,150000,12,benzin,bmw,nein,67655
2016-03-06 01:36:21,18500,coupe,2008,automatik,387,andere,150000,9,benzin,mercedes_benz,nein,41749
2016-03-06 01:36:22,6300,kleinwagen,2011,manuell,77,punto,40000,8,benzin,fiat,nein,79194
2016-03-06 01:36:23,2490,kleinwagen,2003,automatik,41,fortwo,125000,9,diesel,smart,nein,71065
2016-03-06 01:36:24,900,kleinwagen,1996,manuell,54,micra,150000,9,benzin,nissan,nein,76137
2016-03-06 01:36:24,3590,kombi,2005,manuell,74,meriva,150000,9,benzin,opel,nein,97265
2016-03-06 01:36:42,4200,kombi,2008,manuell,109,focus,150000,4,diesel,ford,nein,64747
2016-03-06 01:36:42,6990,limousine,2006,manuell,200,golf,150000,2,benzin,volkswagen,nein,80336
